,context?,vocab,max_len,avg accuracy,avg sender entropy,avg loss,avg mex len,avg number different mex per class
0,no,2,1,0.6438815990234971,0.04478574164420494,0.7758326362337737,1.3158376563930425,2.0
1,yes,2,1,0.7125419591089411,0.061012804851815275,0.4747389237126376,1.5123588648153798,2.0
2,no,2,6,0.8553555080866646,0.043680173377869044,0.2572113140303818,3.9069270674397316,7.0
3,yes,2,6,0.8312480927677754,0.06745152631637914,0.2992911095505653,3.469942020140372,7.0
4,no,5,10,0.8593225511138236,0.8825593833829486,0.27838122360093254,8.305767470247178,353.0
5,yes,5,10,0.8153799206591394,0.9037527228073383,0.34620115366327875,8.04485810192249,503.0
6,no,10,2,0.8370460787305463,0.8215287954306789,0.2934788314054609,3.0,25.0
7,yes,10,2,0.8260604211168752,1.053210286149384,0.33929161734700725,2.9807750991760757,41.0
8,no,10,6,0.8483368935001526,1.610645706028992,0.27529146980449576,6.49740616417455,187.0
9,yes,10,6,0.5627097955447056,2.29802151485882,0.689585017455872,4.201708880073237,209.0
10,no,100,2,0.8095819346963686,3.2649008278298166,0.32261555897846667,3.0,69.0
11,yes,100,2,0.7378700030515716,3.57698888643362,0.45894528574585364,3.0,170.0
12,no,100,6,0.5151052792187977,4.598150312955109,0.6931008043033087,6.9896246566982,613.0
13,yes,100,6,0.5126640219713152,4.5973476330463505,0.6928239086796898,6.891364052487031,814.0
